learner_id,learner_name,birthdate,sex,municipality,school,age
LRN-001,juan dela cruz,15/03/2010,M,manila,Rizal Elementary School,14
LRN-001,Juan Dela Cruz,2010-03-15,M,Manila,Rizal Elementary School,14
LRN-002,MARIA SANTOS,2011-07-22,F,Quezon City,Bonifacio High School,13
lrn-003,  Pedro   Reyes  ,03-15-2009,m,Invalid Town,Mabini Academy,16
,Ana Garcia,01/01/2012,X,Makati,Unknown School,12
LRN-0006,Pedro Villanueva,2011-09-27,F,Davao City,Davao National High,13
LRN-0007,Carlos Dela Cruz,2015-08-07,M,Davao City,Bonifacio High School,9
LRN-0008,Antonio Lopez,2011-03-05,F,Makati,Bonifacio High School,12
LRN-0009,Antonio Aquino,2014-10-02,M,Taguig,Bonifacio High School,6
LRN-0010,  ana lopez  ,Invalid Date,X,Nowhere,Quezon Science High,6
LRN-0011,Pedro Aquino,2014-02-07,M,Davao City,Mabini Academy,5
LRN-0012,Ana Reyes,2011-05-23,M,Davao City,Bonifacio High School,18
LRN-0013,Maria Dela Cruz,2008-06-30,M,Taguig,Rizal Elementary School,15
LRN-0014,Lisa Reyes,2008-04-03,M,Manila,Cebu Central School,18
LRN-0015,Antonio Garcia,2010-06-08,F,Pasig,Mabini Academy,12
LRN-0016,Lisa Aquino,2010-04-20,M,Manila,Davao National High,7
LRN-0017,Jose Santos,2014-09-18,F,Davao City,Davao National High,16
LRN-0018,Juan Wong,2011-05-26,F,Makati,Mabini Academy,15
LRN-0019,  pedro reyes  ,Invalid Date,M,Nowhere,Rizal Elementary School,6
LRN-0020,Pedro Mendoza,2013-01-26,M,Taguig,Cebu Central School,16
LRN-0021,Maria Lopez,2014-05-07,M,Makati,Rizal Elementary School,13
LRN-0022,Lisa Mendoza,2014-12-07,M,Davao City,Bonifacio High School,5
LRN-0023,Maria Wong,2007-08-30,F,Cebu City,Cebu Central School,5
LRN-0024,Juan Santos,2009-05-17,F,Makati,Cebu Central School,8
